Country,Number_of_Billionaires,Total_Net_Worth
Algeria,1,2500000000
Argentina,5,19500000000
Armenia,1,1100000000
Australia,48,214500000000
Austria,9,75600000000
Bangladesh,1,1100000000
Barbados,1,1400000000
Belgium,10,36300000000
Belize,1,4700000000
Brazil,69,230900000000
Bulgaria,2,4200000000
Canada,67,314700000000
Chile,6,42200000000
China,406,1335600000000
Colombia,4,29600000000
Croatia,1,1700000000
Cyprus,10,55700000000
Czech Republic,11,66700000000
Denmark,9,50400000000
Egypt,5,18400000000
Estonia,1,2200000000
Eswatini (Swaziland),1,7200000000
Finland,7,14900000000
France,53,673500000000
Georgia,2,10100000000
Germany,132,643900000000
Greece,10,26800000000
Guernsey,1,2600000000
Hong Kong,67,329700000000
Hungary,5,6800000000
Iceland,1,2100000000
India,200,953700000000
Indonesia,35,200900000000
Ireland,11,52900000000
Israel,36,137800000000
Italy,73,301700000000
Japan,41,181400000000
Kazakhstan,6,25400000000
Lebanon,6,11800000000
Liechtenstein,1,1500000000
Luxembourg,1,1100000000
Malaysia,17,51500000000
Mexico,22,199700000000
Monaco,3,11000000000
Morocco,2,3100000000
Nepal,1,1800000000
Netherlands,14,47000000000
New Zealand,4,15900000000
Nigeria,4,26700000000
Norway,12,41200000000
Oman,2,4900000000
Panama,1,1100000000
Philippines,16,49200000000
Poland,8,26500000000
Portugal,1,5700000000
Qatar,2,3500000000
Romania,6,10600000000
Russia,120,536500000000
Singapore,39,115500000000
Slovakia,2,3400000000
South Africa,6,29400000000
South Korea,36,92100000000
Spain,29,177100000000
St. Kitts and Nevis,1,1300000000
Sweden,43,162000000000
Switzerland,41,224100000000
Taiwan,51,145200000000
Tanzania,1,1800000000
Thailand,26,85300000000
Turkey,27,56100000000
Ukraine,5,9400000000
United Arab Emirates,4,27800000000
United Kingdom,55,225300000000
United States of America,813,5700800000000
Uruguay,2,2200000000
Venezuela,1,4400000000
Vietnam,6,13900000000
Zimbabwe,1,1800000000